A00,"Cholera"
S057,"Avulsion of eye"
S0570,"Avulsion of unspecified eye"
S0571,"Avulsion of right eye"
S0572,"Avulsion of left eye"
S058,"Other injuries of eye and orbit"
S058X,"Other injuries of eye and orbit"
S058X1,"Other injuries of right eye and orbit"
S058X2,"Other injuries of left eye and orbit"
S058X9,"Other injuries of unspecified eye and orbit"
S059,"Unspecified injury of eye and orbit"
S0590,"Unspecified injury of unspecified eye and orbit"
S0591,"Unspecified injury of right eye and orbit"
S0592,"Unspecified injury of left eye and orbit"
S06,"Intracranial injury"
S060,"Concussion"
S060X,"Concussion"
S060X0,"Concussion without loss of consciousness"
S060X1,"Concussion with loss of consciousness of 30 minutes or less"
S060X9,"Concussion with loss of consciousness of unspecified duration"
S061,"Traumatic cerebral edema"
S061X,"Traumatic cerebral edema"
S061X0,"Traumatic cerebral edema without loss of consciousness"
S061X1,"Traumatic cerebral edema with loss of consciousness of 30 minutes or less"
S061X2,"Traumatic cerebral edema with loss of consciousness of 31 minutes to 59 minutes"
S061X3,"Traumatic cerebral edema with loss of consciousness of 1 hour to 5 hours 59 minutes"
S061X4,"Traumatic cerebral edema with loss of consciousness of 6 hours to 24 hours"
S061X5,"Traumatic cerebral edema with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S061X6,"Traumatic cerebral edema with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S061X7,"Traumatic cerebral edema with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S061X8,"Traumatic cerebral edema with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S061X9,"Traumatic cerebral edema with loss of consciousness of unspecified duration"
S062,"Diffuse traumatic brain injury"
S062X,"Diffuse traumatic brain injury"
S062X0,"Diffuse traumatic brain injury without loss of consciousness"
S062X1,"Diffuse traumatic brain injury with loss of consciousness of 30 minutes or less"
S062X2,"Diffuse traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes"
S062X3,"Diffuse traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes"
S062X4,"Diffuse traumatic brain injury with loss of consciousness of 6 hours to 24 hours"
S062X5,"Diffuse traumatic brain injury with loss of consciousness greater than 24 hours with return to pre-existing conscious levels"
S062X6,"Diffuse traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S062X7,"Diffuse traumatic brain injury with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S062X8,"Diffuse traumatic brain injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S062X9,"Diffuse traumatic brain injury with loss of consciousness of unspecified duration"
S063,"Focal traumatic brain injury"
S0630,"Unspecified focal traumatic brain injury"
S06300,"Unspecified focal traumatic brain injury without loss of consciousness"
S06301,"Unspecified focal traumatic brain injury with loss of consciousness of 30 minutes or less"
S06302,"Unspecified focal traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes"
S06303,"Unspecified focal traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes"
S06304,"Unspecified focal traumatic brain injury with loss of consciousness of 6 hours to 24 hours"
S06305,"Unspecified focal traumatic brain injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06306,"Unspecified focal traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06307,"Unspecified focal traumatic brain injury with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06308,"Unspecified focal traumatic brain injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06309,"Unspecified focal traumatic brain injury with loss of consciousness of unspecified duration"
S0631,"Contusion and laceration of right cerebrum"
S06310,"Contusion and laceration of right cerebrum without loss of consciousness"
S06311,"Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less"
S06312,"Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes"
S06313,"Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes"
S06314,"Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours"
S06315,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06316,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06317,"Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06318,"Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06319,"Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration"
S0632,"Contusion and laceration of left cerebrum"
S06320,"Contusion and laceration of left cerebrum without loss of consciousness"
S06321,"Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less"
S06322,"Contusion and laceration of left cerebrum with loss of consciousness of 31 minutes to 59 minutes"
S06323,"Contusion and laceration of left cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes"
S06324,"Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours"
S06325,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06326,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06327,"Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06328,"Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06329,"Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration"
S0633,"Contusion and laceration of cerebrum, unspecified"
S06330,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness"
S06331,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less"
S06332,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes"
S06333,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes"
S06334,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours"
S06335,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06336,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06337,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06338,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06339,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration"
S0634,"Traumatic hemorrhage of right cerebrum"
S06340,"Traumatic hemorrhage of right cerebrum without loss of consciousness"
S06341,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 30 minutes or less"
S06342,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes"
S06343,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes"
S06344,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 6 hours to 24 hours"
S06345,"Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06346,"Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06347,"Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06348,"Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06349,"Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration"
S0635,"Traumatic hemorrhage of left cerebrum"
S06350,"Traumatic hemorrhage of left cerebrum without loss of consciousness"
S06351,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 30 minutes or less"
S06352,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 31 minutes to 59 minutes"
S06353,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes"
S06354,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours"
S06355,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06356,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06357,"Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06358,"Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06359,"Traumatic hemorrhage of left cerebrum with loss of consciousness of unspecified duration"
S0636,"Traumatic hemorrhage of cerebrum, unspecified"
S06360,"Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness"
S06361,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less"
S06362,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes"
S06363,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 1 hours to 5 hours 59 minutes"
S06364,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours"
S06365,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06366,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06367,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06368,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06369,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration"
S0637,"Contusion, laceration, and hemorrhage of cerebellum"
S06370,"Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness"
S06371,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 30 minutes or less"
S06372,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 31 minutes to 59 minutes"
S06373,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 1 hour to 5 hours 59 minutes"
S06374,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 6 hours to 24 hours"
S06375,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06376,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06377,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06378,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06379,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of unspecified duration"
S0638,"Contusion, laceration, and hemorrhage of brainstem"
S06380,"Contusion, laceration, and hemorrhage of brainstem without loss of consciousness"
S06381,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 30 minutes or less"
S06382,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 31 minutes to 59 minutes"
S06383,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 1 hour to 5 hours 59 minutes"
S06384,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 6 hours to 24 hours"
S06385,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06386,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06387,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06388,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06389,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of unspecified duration"
S064,"Epidural hemorrhage"
S064X,"Epidural hemorrhage"
S064X0,"Epidural hemorrhage without loss of consciousness"
S064X1,"Epidural hemorrhage with loss of consciousness of 30 minutes or less"
S064X2,"Epidural hemorrhage with loss of consciousness of 31 minutes to 59 minutes"
S064X3,"Epidural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes"
S064X4,"Epidural hemorrhage with loss of consciousness of 6 hours to 24 hours"
S064X5,"Epidural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S064X6,"Epidural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S064X7,"Epidural hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S064X8,"Epidural hemorrhage with loss of consciousness of any duration with death due to other causes prior to regaining consciousness"
S064X9,"Epidural hemorrhage with loss of consciousness of unspecified duration"
S065,"Traumatic subdural hemorrhage"
S065X,"Traumatic subdural hemorrhage"
S065X0,"Traumatic subdural hemorrhage without loss of consciousness"
S065X1,"Traumatic subdural hemorrhage with loss of consciousness of 30 minutes or less"
S065X2,"Traumatic subdural hemorrhage with loss of consciousness of 31 minutes to 59 minutes"
S065X3,"Traumatic subdural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes"
S065X4,"Traumatic subdural hemorrhage with loss of consciousness of 6 hours to 24 hours"
S065X5,"Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S065X6,"Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S065X7,"Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to brain injury before regaining consciousness"
S065X8,"Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to other cause before regaining consciousness"
S065X9,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration"
S066,"Traumatic subarachnoid hemorrhage"
S066X,"Traumatic subarachnoid hemorrhage"
S066X0,"Traumatic subarachnoid hemorrhage without loss of consciousness"
S066X1,"Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less"
S066X2,"Traumatic subarachnoid hemorrhage with loss of consciousness of 31 minutes to 59 minutes"
S066X3,"Traumatic subarachnoid hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes"
S066X4,"Traumatic subarachnoid hemorrhage with loss of consciousness of 6 hours to 24 hours"
S066X5,"Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S066X6,"Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S066X7,"Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S066X8,"Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S066X9,"Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration"
S068,"Other specified intracranial injuries"
S0681,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified"
S06810,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness"
S06811,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less"
S06812,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes"
S06813,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes"
S06814,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours"
S06815,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06816,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06817,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06818,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06819,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration"
S0682,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified"
S06820,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness"
S06821,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less"
S06822,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes"
S06823,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes"
S06824,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours"
S06825,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06826,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06827,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06828,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06829,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration"
S0689,"Other specified intracranial injury"
S06890,"Other specified intracranial injury without loss of consciousness"
S06891,"Other specified intracranial injury with loss of consciousness of 30 minutes or less"
S06892,"Other specified intracranial injury with loss of consciousness of 31 minutes to 59 minutes"
S06893,"Other specified intracranial injury with loss of consciousness of 1 hour to 5 hours 59 minutes"
S06894,"Other specified intracranial injury with loss of consciousness of 6 hours to 24 hours"
S06895,"Other specified intracranial injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06896,"Other specified intracranial injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06897,"Other specified intracranial injury with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06898,"Other specified intracranial injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06899,"Other specified intracranial injury with loss of consciousness of unspecified duration"
S069,"Unspecified intracranial injury"
S069X,"Unspecified intracranial injury"
S069X0,"Unspecified intracranial injury without loss of consciousness"
S069X1,"Unspecified intracranial injury with loss of consciousness of 30 minutes or less"
S069X2,"Unspecified intracranial injury with loss of consciousness of 31 minutes to 59 minutes"
S069X3,"Unspecified intracranial injury with loss of consciousness of 1 hour to 5 hours 59 minutes"
S069X4,"Unspecified intracranial injury with loss of consciousness of 6 hours to 24 hours"
S069X5,"Unspecified intracranial injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S069X6,"Unspecified intracranial injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S069X7,"Unspecified intracranial injury with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S069X8,"Unspecified intracranial injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S069X9,"Unspecified intracranial injury with loss of consciousness of unspecified duration"
S07,"Crushing injury of head"
S070,"Crushing injury of face"
S071,"Crushing injury of skull"
S078,"Crushing injury of other parts of head"
S079,"Crushing injury of head, part unspecified"
S08,"Avulsion and traumatic amputation of part of head"
S080,"Avulsion of scalp"
S081,"Traumatic amputation of ear"
S0811,"Complete traumatic amputation of ear"
S08111,"Complete traumatic amputation of right ear"
S08112,"Complete traumatic amputation of left ear"
S08119,"Complete traumatic amputation of unspecified ear"
S0812,"Partial traumatic amputation of ear"
S08121,"Partial traumatic amputation of right ear"
S08122,"Partial traumatic amputation of left ear"
S08129,"Partial traumatic amputation of unspecified ear"
S088,"Traumatic amputation of other parts of head"
S0881,"Traumatic amputation of nose"
S08811,"Complete traumatic amputation of nose"
S08812,"Partial traumatic amputation of nose"
S0889,"Traumatic amputation of other parts of head"
S09,"Other and unspecified injuries of head"
S090,"Injury of blood vessels of head, not elsewhere classified"
S091,"Injury of muscle and tendon of head"
S0910,"Unspecified injury of muscle and tendon of head"
S0911,"Strain of muscle and tendon of head"
S0912,"Laceration of muscle and tendon of head"
S0919,"Other specified injury of muscle and tendon of head"
S092,"Traumatic rupture of ear drum"
S0920,"Traumatic rupture of unspecified ear drum"
S0921,"Traumatic rupture of right ear drum"
S0922,"Traumatic rupture of left ear drum"
S093,"Other specified and unspecified injury of middle and inner ear"
S0930,"Unspecified injury of middle and inner ear"
S09301,"Unspecified injury of right middle and inner ear"
S09302,"Unspecified injury of left middle and inner ear"
S09309,"Unspecified injury of unspecified middle and inner ear"
S0931,"Primary blast injury of ear"
S09311,"Primary blast injury of right ear"
S09312,"Primary blast injury of left ear"
S09313,"Primary blast injury of ear, bilateral"
S09319,"Primary blast injury of unspecified ear"
S0939,"Other specified injury of middle and inner ear"
S09391,"Other specified injury of right middle and inner ear"
S09392,"Other specified injury of left middle and inner ear"
S09399,"Other specified injury of unspecified middle and inner ear"
S098,"Other specified injuries of head"
S099,"Unspecified injury of face and head"
S0990,"Unspecified injury of head"
S0991,"Unspecified injury of ear"
S0992,"Unspecified injury of nose"
S0993,"Unspecified injury of face"
S10,"Superficial injury of neck"
S100,"Contusion of throat"
S101,"Other and unspecified superficial injuries of throat"
S1010,"Unspecified superficial injuries of throat"
S1011,"Abrasion of throat"
S1012,"Blister (nonthermal) of throat"
S1014,"External constriction of part of throat"
S1015,"Superficial foreign body of throat"
S1016,"Insect bite (nonvenomous) of throat"
S1017,"Other superficial bite of throat"
S108,"Superficial injury of other specified parts of neck"
S1080,"Unspecified superficial injury of other specified part of neck"
S1081,"Abrasion of other specified part of neck"
S1082,"Blister (nonthermal) of other specified part of neck"
S1083,"Contusion of other specified part of neck"
S1084,"External constriction of other specified part of neck"
S1085,"Superficial foreign body of other specified part of neck"
S1086,"Insect bite of other specified part of neck"
S1087,"Other superficial bite of other specified part of neck"
S109,"Superficial injury of unspecified part of neck"
S1090,"Unspecified superficial injury of unspecified part of neck"
S1091,"Abrasion of unspecified part of neck"
S1092,"Blister (nonthermal) of unspecified part of neck"
S1093,"Contusion of unspecified part of neck"
S1094,"External constriction of unspecified part of neck"
S1095,"Superficial foreign body of unspecified part of neck"
S1096,"Insect bite of unspecified part of neck"
S1097,"Other superficial bite of unspecified part of neck"
S11,"Open wound of neck"
S110,"Open wound of larynx and trachea"
S1101,"Open wound of larynx"
S11011,"Laceration without foreign body of larynx"
S11012,"Laceration with foreign body of larynx"
S11013,"Puncture wound without foreign body of larynx"
S11014,"Puncture wound with foreign body of larynx"
S11015,"Open bite of larynx"
S11019,"Unspecified open wound of larynx"
S1102,"Open wound of trachea"
S11021,"Laceration without foreign body of trachea"
S11022,"Laceration with foreign body of trachea"
S11023,"Puncture wound without foreign body of trachea"
S11024,"Puncture wound with foreign body of trachea"
S11025,"Open bite of trachea"
S11029,"Unspecified open wound of trachea"
S1103,"Open wound of vocal cord"
S11031,"Laceration without foreign body of vocal cord"
S11032,"Laceration with foreign body of vocal cord"
S11033,"Puncture wound without foreign body of vocal cord"
S11034,"Puncture wound with foreign body of vocal cord"
S11035,"Open bite of vocal cord"
S11039,"Unspecified open wound of vocal cord"
S111,"Open wound of thyroid gland"
S1110,"Unspecified open wound of thyroid gland"
S1111,"Laceration without foreign body of thyroid gland"
S1112,"Laceration with foreign body of thyroid gland"
S1113,"Puncture wound without foreign body of thyroid gland"
S1114,"Puncture wound with foreign body of thyroid gland"
S1115,"Open bite of thyroid gland"
S112,"Open wound of pharynx and cervical esophagus"
S1120,"Unspecified open wound of pharynx and cervical esophagus"
S1121,"Laceration without foreign body of pharynx and cervical esophagus"
S1122,"Laceration with foreign body of pharynx and cervical esophagus"
S1123,"Puncture wound without foreign body of pharynx and cervical esophagus"
S1124,"Puncture wound with foreign body of pharynx and cervical esophagus"
S1125,"Open bite of pharynx and cervical esophagus"
S118,"Open wound of other specified parts of neck"
S1180,"Unspecified open wound of other specified part of neck"
S1181,"Laceration without foreign body of other specified part of neck"
S1182,"Laceration with foreign body of other specified part of neck"
S1183,"Puncture wound without foreign body of other specified part of neck"
S1184,"Puncture wound with foreign body of other specified part of neck"
S1185,"Open bite of other specified part of neck"
S1189,"Other open wound of other specified part of neck"
S119,"Open wound of unspecified part of neck"
S1190,"Unspecified open wound of unspecified part of neck"
S1191,"Laceration without foreign body of unspecified part of neck"
S1192,"Laceration with foreign body of unspecified part of neck"
S1193,"Puncture wound without foreign body of unspecified part of neck"
S1194,"Puncture wound with foreign body of unspecified part of neck"
S1195,"Open bite of unspecified part of neck"
S12,"Fracture of cervical vertebra and other parts of neck"
S120,"Fracture of first cervical vertebra"
S1200,"Unspecified fracture of first cervical vertebra"
S12000,"Unspecified displaced fracture of first cervical vertebra"
S12001,"Unspecified nondisplaced fracture of first cervical vertebra"
S1201,"Stable burst fracture of first cervical vertebra"
S1202,"Unstable burst fracture of first cervical vertebra"
S1203,"Posterior arch fracture of first cervical vertebra"
S12030,"Displaced posterior arch fracture of first cervical vertebra"
S12031,"Nondisplaced posterior arch fracture of first cervical vertebra"
S1204,"Lateral mass fracture of first cervical vertebra"
S12040,"Displaced lateral mass fracture of first cervical vertebra"
S12041,"Nondisplaced lateral mass fracture of first cervical vertebra"
S1209,"Other fracture of first cervical vertebra"
S12090,"Other displaced fracture of first cervical vertebra"
S12091,"Other nondisplaced fracture of first cervical vertebra"
S121,"Fracture of second cervical vertebra"
S1210,"Unspecified fracture of second cervical vertebra"
S12100,"Unspecified displaced fracture of second cervical vertebra"
S12101,"Unspecified nondisplaced fracture of second cervical vertebra"
S1211,"Type II dens fracture"
S12110,"Anterior displaced Type II dens fracture"
S12111,"Posterior displaced Type II dens fracture"
S12112,"Nondisplaced Type II dens fracture"
S1212,"Other dens fracture"
S12120,"Other displaced dens fracture"
S12121,"Other nondisplaced dens fracture"
S1213,"Unspecified traumatic spondylolisthesis of second cervical vertebra"
S12130,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra"
S12131,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra"
S1214,"Type III traumatic spondylolisthesis of second cervical vertebra"
S1215,"Other traumatic spondylolisthesis of second cervical vertebra"
S12150,"Other traumatic displaced spondylolisthesis of second cervical vertebra"
S12151,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra"
S1219,"Other fracture of second cervical vertebra"
S12190,"Other displaced fracture of second cervical vertebra"
S12191,"Other nondisplaced fracture of second cervical vertebra"
S122,"Fracture of third cervical vertebra"
S1220,"Unspecified fracture of third cervical vertebra"
S12200,"Unspecified displaced fracture of third cervical vertebra"
S12201,"Unspecified nondisplaced fracture of third cervical vertebra"
S1223,"Unspecified traumatic spondylolisthesis of third cervical vertebra"
S12230,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra"
S12231,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra"
S1224,"Type III traumatic spondylolisthesis of third cervical vertebra"
S1225,"Other traumatic spondylolisthesis of third cervical vertebra"
S12250,"Other traumatic displaced spondylolisthesis of third cervical vertebra"
S12251,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra"
S1229,"Other fracture of third cervical vertebra"
S12290,"Other displaced fracture of third cervical vertebra"
S12291,"Other nondisplaced fracture of third cervical vertebra"
S123,"Fracture of fourth cervical vertebra"
S1230,"Unspecified fracture of fourth cervical vertebra"
S12300,"Unspecified displaced fracture of fourth cervical vertebra"
S12301,"Unspecified nondisplaced fracture of fourth cervical vertebra"
S1233,"Unspecified traumatic spondylolisthesis of fourth cervical vertebra"
S12330,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra"
S12331,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra"
S1234,"Type III traumatic spondylolisthesis of fourth cervical vertebra"
S1235,"Other traumatic spondylolisthesis of fourth cervical vertebra"
S12350,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra"
S12351,"Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra"
S1239,"Other fracture of fourth cervical vertebra"
